Group,Time_day,Time_day_13,Conc_ng_mL,Dose_45_mg_kg
1,0,13,,0.9
1,0.008762066,13.00876207,10394.09234,0
1,0.045414425,13.04541443,5983.818571,0
1,0.165471656,13.16547166,1173.66557,0
1,0.252173387,13.25217339,358.0608469,0
1,1.002809181,14.00280918,6.907621573,0
1,2.006996756,15.00699676,1.598957537,0
