Group,Dose,Time (days),TumorWeight (g)
1,0,13,
1,,16.96682464,1.195804196
1,,17.96208531,1.342657343
1,,18.95734597,1.678321678
1,,20,1.804195804
1,,20.9478673,2.223776224
1,,21.94312796,2.391608392
1,,24.92890995,2.832167832
1,,25.97156398,3.188811189
1,,26.91943128,3.545454545
1,,27.91469194,4.237762238
1,,31.8957346,5.916083916
1,,36.01895735,6.818181818
