dose_group,parameter,baseline_tumor,increase_tumor,decrease_tumor,increase_pct_change,decrease_pct_change,total_sensitivity
Control,lambda_0,3.447182942352225,6.498976669876956,0.5493859810603555,88.53007741568555,-84.06275529184778,172.59283270753332
Control,lambda_1,3.447182942352225,3.5505138725661216,2.68491869398134,2.997547038898599,-22.112671741487123,25.110218780385722
Control,phi,3.447182942352225,3.453717909710714,3.4142470406000474,0.18957413829710817,-0.9554439756453234,1.1450181139424316
Control,k1,3.447182942352225,3.4471829423522244,3.447182942352225,-1.2882670205690715e-14,0.0,1.2882670205690715e-14
Control,k2,3.447182942352225,3.4471829423522315,3.447182942352225,1.9324005308536073e-13,0.0,1.9324005308536073e-13
45 mg/kg,lambda_0,1.8944382002435398,5.326577595452763,0.29311059328310696,181.169245572012,-84.52783557439741,265.6970811464094
45 mg/kg,lambda_1,1.8944382002435398,1.8944405061431988,1.8135211509201932,0.00012171944477775825,-4.271295274395562,4.271416993840339
45 mg/kg,phi,1.8944382002435398,1.8944404842121925,1.8940253401174891,0.0001205617925333372,-0.021793274966563147,0.021913836759096483
45 mg/kg,k1,1.8944382002435398,1.8944166775065998,1.9007173126817747,-0.001136101295742358,0.33144984288363993,0.3325859441793823
45 mg/kg,k2,1.8944382002435398,1.3837407168857216,2.592053907872498,-26.957727271977802,36.824410927697514,63.782138199675316
60 mg/kg,lambda_0,1.5364909188474036,4.943517117131393,0.23773059750149533,221.74073120066112,-84.52769264137085,306.26842384203195
60 mg/kg,lambda_1,1.5364909188474036,1.5364909472239623,1.5236369293071301,1.8468419377109355e-6,-0.8365808988910851,0.8365827457330228
60 mg/kg,phi,1.5364909188474036,1.5364909471982073,1.5364492065372288,1.8451657186451844e-6,-0.0027147775273603466,0.002716622693078992
60 mg/kg,k1,1.5364909188474036,1.536464874072707,1.5441108632467553,-0.0016950815899540736,0.49593162614119074,0.4976267077311448
60 mg/kg,k2,1.5364909188474036,1.0107176410346275,2.3355966119931515,-34.219094389909195,52.00848786956683,86.22758225947602
